Top pages,Clicks,Impressions,CTR,Position
https://patristic.io/fathers/clement-of-alexandria?via=pedagogical,0,6,0%,6.83
https://patristic.io/fathers/basil-of-caesarea?via=pedagogical,0,6,0%,7.17
https://patristic.io/fathers/patrick-of-ireland,0,6,0%,8
https://patristic.io/fathers/egeria,0,6,0%,8.33
https://patristic.io/fathers/evagrius-ponticus?via=pedagogical,0,6,0%,8.5
https://patristic.io/fathers/pope-cornelius?via=episcopal,0,6,0%,12
https://patristic.io/directory,0,6,0%,22.33
https://patristic.io/fathers/novatian?via=documented_only,0,6,0%,42.33
https://patristic.io/events/council-of-constantinople-i,0,6,0%,52.33
https://patristic.io/fathers/ambrose-of-milan?via=pedagogical,0,5,0%,3.2
https://patristic.io/fathers/pambo-of-nitria,0,5,0%,4.4
https://patristic.io/fathers/eutychius-of-constantinople?via=documented_only,0,5,0%,4.6
https://patristic.io/fathers/judas-iscariot,0,5,0%,4.6
https://patristic.io/fathers/sophronius-of-jerusalem,0,5,0%,5.6
https://patristic.io/fathers/clement-of-rome?via=episcopal,0,5,0%,5.8
https://patristic.io/fathers/sophronius-of-jerusalem?via=episcopal,0,5,0%,6
https://patristic.io/fathers/john-climacus,0,5,0%,6.4
https://patristic.io/fathers/theophilus-of-antioch,0,5,0%,6.6
https://patristic.io/fathers/pope-leo-i?via=episcopal,0,5,0%,7
https://patristic.io/fathers/serapion-of-antioch,0,5,0%,7.2
https://patristic.io/fathers/aphrahat,0,5,0%,7.4
https://patristic.io/fathers/athenagoras-of-athens,0,5,0%,7.4
https://patristic.io/fathers/helena-of-constantinople,0,5,0%,7.4
https://patristic.io/fathers/pope-leo-i?via=documented_only,0,5,0%,7.4
https://patristic.io/fathers/demetrius-of-alexandria?via=episcopal,0,5,0%,9.2
https://patristic.io/fathers/pope-anterus,0,5,0%,9.8
https://patristic.io/fathers/arnobius-of-sicca?via=pedagogical,0,5,0%,10.4
https://patristic.io/fathers/methodius-of-olympus,0,5,0%,10.6
https://patristic.io/fathers/tertullian?via=episcopal,0,5,0%,24.2
https://patristic.io/fathers/pope-damasus-i?via=documented_only,0,5,0%,30.8
https://patristic.io/fathers/tertullian?via=documented_only,0,5,0%,31.4
https://patristic.io/today?d=2027-05-05,0,5,0%,34.6
https://patristic.io/today?d=2026-05-02,0,4,0%,3.5
https://patristic.io/fathers/evodius-of-antioch?via=documented_only,0,4,0%,3.75
https://patristic.io/fathers/polycrates-of-ephesus?via=episcopal,0,4,0%,4
https://patristic.io/fathers/tatian-the-assyrian?via=pedagogical,0,4,0%,4
https://patristic.io/fathers/onesimus?via=episcopal,0,4,0%,4.25
https://patristic.io/fathers/pope-stephen-i,0,4,0%,4.5
https://patristic.io/map,0,4,0%,4.75
https://patristic.io/fathers/apollinaris-of-laodicea?via=pedagogical,0,4,0%,5.25
https://patristic.io/fathers/polycrates-of-ephesus,0,4,0%,5.75
https://patristic.io/fathers/titus-of-crete,0,4,0%,6
https://patristic.io/today?d=2026-10-24,0,4,0%,6
https://patristic.io/fathers/onesimus,0,4,0%,6.25
https://patristic.io/fathers/augustine-of-hippo?via=episcopal,0,4,0%,6.5
https://patristic.io/fathers/chromatius-of-aquileia?via=documented_only,0,4,0%,6.5
https://patristic.io/today?d=2025-02-04,0,4,0%,7
https://patristic.io/fathers/caesarius-of-arles?via=pedagogical,0,4,0%,7.5
https://patristic.io/fathers/leander-of-seville?via=pedagogical,0,4,0%,7.5
https://patristic.io/fathers/venantius-fortunatus,0,4,0%,7.75
https://patristic.io/fathers/caesarius-of-arles,0,4,0%,8.25
https://patristic.io/fathers/ephrem-the-syrian?via=episcopal,0,4,0%,8.75
https://patristic.io/fathers/theodoret-of-cyrus?via=documented_only,0,4,0%,8.75
https://patristic.io/fathers/anacletus-of-rome?via=episcopal,0,4,0%,9
https://patristic.io/fathers/rufinus-of-aquileia?via=documented_only,0,4,0%,9
https://patristic.io/fathers/justin-martyr?via=episcopal,0,4,0%,10.75
https://patristic.io/fathers/judas-iscariot?via=documented_only,0,4,0%,11
https://patristic.io/fathers/leontius-of-byzantium?via=episcopal,0,4,0%,11.25
https://patristic.io/fathers/gregory-the-illuminator,0,4,0%,12
https://patristic.io/fathers/alypius-of-thagaste?via=episcopal,0,4,0%,17
https://patristic.io/fathers/pope-celestine-i?via=documented_only,0,4,0%,17.75
https://patristic.io/today?d=2026-07-28,0,4,0%,19.75
https://patristic.io/fathers/arius?via=documented_only,0,4,0%,21
https://patristic.io/fathers/pope-celestine-i?via=episcopal,0,4,0%,22
https://patristic.io/fathers/sulpicius-severus,0,4,0%,22.75
https://patristic.io/fathers/augustine-of-canterbury?via=episcopal,0,4,0%,27
https://patristic.io/fathers/pope-zephyrinus,0,4,0%,27.5
https://patristic.io/questions/church-fathers-timeline,0,4,0%,28.25
https://patristic.io/fathers/marcellus-of-ancyra,0,4,0%,30.25
https://patristic.io/fathers/serapion-of-antioch?via=episcopal,0,4,0%,45
https://patristic.io/fathers/pope-anicetus?via=episcopal,0,4,0%,51.25
https://patristic.io/fathers/flavian-of-constantinople?via=pedagogical,0,3,0%,3
